web-scraper-order,web-scraper-start-url,fakenews,fakenews-href,news,content,pages,pages-href
"1691836420-11","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2234","ভারতের মুখ্যমন্ত্রীর অপেক্ষায় বাংলাদেশের রাষ্ট্রপতি?","বাংলাদেশের রাষ্ট্রপতি আব্দুল হামিদ ‘ইন্টারন্যাশনাল সোলার এলায়েন্স সামিট’-এ অংশগ্রহণের লক্ষ্যে সম্প্রতি ৪ দিনের সরকারী সফরে ভারতে যান। এই সফরের অংশ হিসেবে, গত বৃহস্পতিবার, মার্চ ৮ তারিখে, তিনি আসাম রাজ্যে পৌঁছান এবং ‘ভিভান্তা বাই তাজ’ ফাইভ স্টার হোটেলে উঠেন। সেখানে তিনি পৃথকভাবে আসামের মুখ্যমন্ত্রী সারবানান্দা সানোয়াল ও গভর্নর জগদীশ মুখীর সাথে সৌজন্যমূলক সাক্ষাত করেন।[1]","৩","https://www.jachai.org/fact-checks/page/3"
"1691836425-12","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-1107","ক্যান্সার কোন রোগ না, শুধুমাত্র ভিটামিন ‘B17’ এর ঘাটতি?","ক্যান্সারের ‘প্রাকৃতিক’ চিকিৎসা নিয়ে রয়েছে নানান বিতর্ক। এমনই একটি আলোচনা হচ্ছে ভিটামিন ‘বি১৭’ কেন্দ্রিক, যা আমিগড্যালিন(Amygdalin) বা লেইট্রিল (laetrile) নামেও পরিচিত। ক্যান্সারের এই প্রতিষেধকের দাবী অনেক বছর পুরনো হলেও, ইন্টারনেটের বদৌলতে ২০১৬ সালের দিকে এই দাবী ব্যাপক হারে ভাইরাল হয়। যা সাম্প্রতিক সময় জয় করেছে বাংলাদেশের ইন্টারনেট। বরাবরের মতই, কালের কণ্ঠের মত পত্রিকাগুলো, কোনরূপ যাচাই-বাছাই ছাড়া, বিদেশী আর্টিকেলের বঙ্গানুবাদ করে এই বিষয়ক খবর প্রকাশ করে এবং আগুন দেয় এই গুজবে।","৩","https://www.jachai.org/fact-checks/page/3"
"1691836429-13","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2290","২২ মার্চ সারাদেশের গুরুত্বপূর্ণ শহরে কোন প্রকার ব্যাগ বহন করা যাবে না?","প্রথমবারের মত ২০১৮ সালের জাতিসংঘের রিভিউতে ‘স্বল্পোন্নত’ দেশের মর্যাদা হতে ‘উন্নয়নশীল’ দেশের মর্যাদা লাভের নির্ণায়কগুলো বাংলাদেশ পূরণ করতে সক্ষম হয়। ২০ মার্চের এক প্রেস ব্রিফিং এ স্বরাষ্ট্রমন্ত্রী আসাদুজ্জামান খান কামাল ঘোষণা দেন, ২২ মার্চ এই উপলক্ষে সারা দেশব্যাপী সরকারীভাবে বিভিন্ন অনুষ্ঠানের আয়োজন করা হবে। এরমধ্যে বঙ্গবন্ধু আন্তর্জাতিক সম্মেলন কেন্দ্রে প্রধানমন্ত্রী শেখ হাসিনাকে আনুষ্ঠানিকভাবে সংবর্ধনা প্রদান করা হবে।","৩","https://www.jachai.org/fact-checks/page/3"
"1691836437-14","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2310","শেখ হাসিনা বিশ্বের দ্বিতীয় সেরা প্রধানমন্ত্রী নির্বাচিত?","১৬ মার্চ ২০১৮ তারিখ ekattornews24.com নামক একটি নিউজ পোর্টাল “বিশ্বের দ্বিতীয় সেরা প্রধানমন্ত্রী শেখ হাসিনা” শিরোনামে একটি সংবাদ প্রকাশ করে। প্রায় একই সাথে newsbangla21.com.bd নামক আরেকটি নিউজ পোর্টাল “দ্য স্টাটিসটিক্স ইন্টারন্যাশনাল জরিপে শেখ হাসিনাকে নিয়ে বেরিয়ে এলো নতুন তথ্য” শিরোনামে নিউজ করে। নিউজ দুটি হুবহু একই রকম। এগুলোতে বলা হয়-","২","https://www.jachai.org/fact-checks/page/2"
"1691836441-15","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2319","বাংলাদেশ কি ‘স্বল্পোন্নত’ দেশ হতে ‘উন্নয়নশীল’ দেশে উত্তরণ করেছে?","জাতিসংঘের ‘স্বল্পোন্নত দেশ’ (Least Developed Country বা LDC) বিভাগীকরণের মাধ্যমে সেসকল দেশকে সনাক্ত করা হয়, যারা অর্থনৈতিক উন্নয়নের দিক থেকে তুলনামূলকভাবে অনগ্রসর। এই তালিকায় অন্তর্ভুক্ত দেশসমূহকে জাতিসংঘসহ অন্যান্য দাতা সংস্থাগুলো বিভিন্নভাবে সহযোগিতা প্রদান করে থাকে; যেমন, কম সুদে ঋণ প্রদান, আন্তর্জাতিক বাজারে অগ্রাধিকার দেওয়া, ঋণ পরিশোধের শর্তসমূহ নমনীয় রাখা ইত্যাদি। এসব সহযোগিতার মাধ্যমে এসকল অনগ্রসর দেশগুলোর অর্থনৈতিক উন্নয়ন ত্বরান্বিত করার সুযোগ সৃষ্টি করা হয়।","২","https://www.jachai.org/fact-checks/page/2"
"1691836447-16","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2341","ফেসবুকে BFF টাইপ করে কি একাউন্টের নিরাপত্তা নির্ণয় করা যায়?","গত কিছুদিন ধরে ফেসবুকে ইংরেজিতে এমন একটি ম্যাসেজ ভাইরাল হয় যার বাংলা অনুবাদ করলে দাঁড়ায়―","২","https://www.jachai.org/fact-checks/page/2"
"1691836452-17","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2353","শেখ হাসিনাকে সেরা স্বৈরশাসকের তালিকায় নির্বাচিত করা হয়েছে?","‘দি টপটেনস’ নামক একটি জরিপভিত্তিক ওয়েবসাইটে জনৈক ব্যবহারকারী বিশ্বের কিছু ঐতিহাসিক রাজনৈতিক ব্যক্তিত্বের নাম উল্লেখ করে একটি অনলাইন জরিপ শুরু করে। জরিপটির শিরোনাম দেওয়া হয় “Top 10 Worst Dictators In History” (বাংলা: ইতিহাসের প্রথম ১০ নিকৃষ্ট স্বৈরশাসক)। প্রায় ৮ বছর আগে তৈরি করা এই জরিপে, সময় সময় বিভিন্ন ব্যবহারকারী নিজেদের ইচ্ছেমত ব্যক্তির নাম উল্লেখ করার ফলে এর তালিকায় যোগ হয় মোট ২১৭ জন রাজনৈতিক ব্যক্তির নাম। যেখানে বর্তমানে প্রথম ১০ জনের তালিকায় বাংলাদেশের শেখা হাসিনা বর্তমানে শীর্ষে। তার পরে যথাক্রমে রয়েছে, এডলফ হিটলার (জার্মানি), জোসেফ স্ট্যালিন (ইউএসএসআর), মাও জ্যাডং (চীন), কিম জং ইল (উত্তর কোরিয়া) প্রমুখ।","২","https://www.jachai.org/fact-checks/page/2"
"1691836456-18","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2367","৫৭টি মুসলিম দেশকে নিয়ে ‘ইসলামি সেনাবাহিনী’ গঠন করার সিদ্ধান্ত নিয়েছে এরদোগান?","২০১৭ সালের ডিসেম্বরে ‘অর্গানাইজেশন অব ইসলামিক কোঅপারেশন’ (ওআইসি) একটি বিশেষ সম্মেলনের ডাক দেয়। সেই মাসেই যুক্তরাষ্ট্রের প্রেসিডেন্ট ডোনাল্ড ট্রাম্পের বক্তব্যের মাধ্যমে জেরুজালেমকে ইজরাইলের রাজধানী হিসেবে যুক্তরাষ্ট্র স্বীকৃতিদান করে। এই স্বীকৃতিদানকে কেন্দ্র করে ডিসেম্বরের ১৩ তারিখে তুরস্কে ওআইসি’র এই বিশেষ সম্মেলনের ডাক দেওয়া হয়।","২","https://www.jachai.org/fact-checks/page/2"
"1691836460-19","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2385","ফেসবুক বন্ধ করে দেওয়ার সিদ্ধান্ত নিয়েছে মার্ক জাকারবার্গ?","Video Of The Internet নামক একটি একটি ফেসবুক পেইজ এপ্রিল ১ তারিখে ‘A World Without Facebook’ শিরোনামে একটি ভিডিও প্রকাশ করে। ভিডিওটিতে দেখা যায়, ফেসবুকের প্রতিষ্ঠাতা, মার্ক জাকারবার্গ, সামাজিক বিভিন্ন নেতিবাচক প্রভাব বিবেচনা করে ফেসবুক বন্ধ করে দেওয়ার ঘোষণা দিচ্ছে।","২","https://www.jachai.org/fact-checks/page/2"
"1691836465-20","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2417","বাংলাদেশ কি ভারতের চতুর্থ সর্ববৃহৎ রেমিটেন্সের উৎস?","‘ডেইলি ইন্ডাস্ট্রি’ নামক একটি বাংলাদেশ ভিত্তিক পত্রিকা গত ২ জুলাই, “Bangladesh becomes 4th largest remittance source for India” শিরোনামে একটি রিপোর্ট প্রকাশ করে। রিপোর্টটিতে দাবি করা হয়, ২০১৭ সালে বাংলাদেশ থেকে সর্বমোট ১০ বিলিয়ন ইউএস ডলার ভারতে পাঠানো হয়েছে। সংযুক্ত একটি চার্টের তালিকায় ১ম স্থানে রয়েছে সংযুক্ত আরব আমিরাত, ২য় স্থানে রয়েছে মার্কিন যুক্তরাষ্ট্র, ৩য় স্থানে রয়েছে সৌদি আরব, ৪র্থ স্থানে রয়েছে বাংলাদেশ এবং ৫ম, ৬ষ্ঠ ও ৭ম স্থানে রয়েছে যথাক্রমে, কুয়েত, কাতার ও যুক্তরাজ্য। এছাড়াও রিপোর্টটিতে দাবী করা হয় প্রায় ১০ লাখ ভারতীয় নাগরিক বর্তমানে বাংলাদেশে কর্মরত আছে।","২","https://www.jachai.org/fact-checks/page/2"
"1691836469-21","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2441","জিগাতলায় ছাত্রছাত্রীদের উপর সন্ত্রাসী হামলার কিছু বিভ্রান্তিকর ছবি","","২","https://www.jachai.org/fact-checks/page/2"
"1691836474-22","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2464","ছবিটি কি জিগাতলায় ছাত্রছাত্রীদের উপর সংঘটিত সন্ত্রাসী হামলার?","দৈনিক জনকণ্ঠ আগস্ট ৬ তারিখে এই ছবিটি তাদের প্রথম পৃষ্ঠায় প্রকাশ করে, আগস্ট ৪ তারিখে ধানমন্ডির জিগাতলায় ‘নিরাপদ সড়ক চাই’ আন্দোলনের সাধারণ স্কুল-কলেজর ছাত্রছাত্রীর উপর সংগঠিত হামলার ছবি হিসেবে। যার বিবরণে লেখা হয়―","২","https://www.jachai.org/fact-checks/page/2"
"1691836479-23","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2492","আইআরআই জরিপে ২০১৮ সালে কি শেখ হাসিনার জনপ্রিয়তা উল্লেখযোগ্য হারে ‘বৃদ্ধি’ পেয়েছে?","সম্প্রতি বাংলাদেশ সংবাদ সংস্থা (বাসস) এর বরাত দিয়ে প্রথম আলো, ডেইলি স্টার, বাংলা ট্রিবিউন সহ বাংলাদেশের প্রধান সকল গণমাধ্যম, যুক্তরাষ্ট্র ভিত্তিক গবেষণা সংস্থা ‘ইন্টারন্যাশনাল রিপাবলিকান ইন্সটিটিউট’ (আইআরআই)-এর ২০১৮ সালের আগস্ট মাসের একটি জনমত জরিপ সম্পর্কিত প্রতিবেদন প্রকাশ করে। প্রতিবেদনে বলা হয়, প্রধানমন্ত্রী শেখ হাসিনার প্রতি বাংলাদেশের সাধারণ জনগণের সমর্থন উল্লেখযোগ্য হারে বৃদ্ধি পেয়েছে।","২","https://www.jachai.org/fact-checks/page/2"
"1691836483-24","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2520","ভেঙ্গে পড়েছে আকাশবীণার দরজা?","‘এভিয়েশন নিউজ’ নামক একটি নিউজ পোর্টাল সেপ্টেম্বর ১১ তারিখ রাতে ‘দরজা ভেঙ্গে গেছে ড্রিমলাইনার আকাশবীণার’ শিরোনামে একটি সংবাদ প্রকাশ করে। পরবর্তীতে ‘ঢাকা ট্রিবিউন’ তাদের ওয়েবসাইটে সেটি পুনপ্রকাশ করলে, সংবাদটি ভাইরাল হয়ে যায়। পরবর্তীতে ‘দি ইন্ডিপেনডেন্ট’ সহ আরও কিছু পত্রিকা রিপোর্টটি হুবহু রেখে ইংরেজিতে পুনপ্রকাশ করে।","২","https://www.jachai.org/fact-checks/page/2"
"1691836488-25","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2581","করোনাভাইরাস সম্পর্কিত এই ‘বিশেষ হেলথ বুলেটিন’-এর তথ্য কতটা সঠিক?","গত জানুয়ারি থেকে ‘ডাব্লিও এইছ ও’, ‘অনির্দিষ্ট’ কোন এক ‘মিনিস্ট্রি অব হেলথ’ সহ বিভিন্ন স্বাস্থ্য সংস্থার বরাত দিয়ে সারা বিশ্বব্যাপী তথাকথিত একটি ‘হেলথ বুলেটিন’ সোশ্যাল মিডিয়ায় প্রচার করা হয়। কোথাও টেক্সট পোস্ট, কোথাওবা একটি চিঠির ছবি হিসেবে এই ‘হেলথ বুলেটিন’ প্রচার করা হয়। সম্প্রতি বাংলায়ও এই ‘বুলিটিন’ অনুবাদ করে প্রচার করা হয়। এসবের কোনটিই কোন গণস্বাস্থ্য কর্তৃপক্ষের প্রদানকৃত বিবৃতি নয়।","২","https://www.jachai.org/fact-checks/page/2"
"1691836492-26","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2606","ইথানলের ভাপ নিয়ে করোনাভাইরাসের চিকিৎসা করা যায়?","এপ্রিলের ৮ তারিখে এনটিভি-তে প্রচারিত একটি প্রতিবেদনে জনৈক গবেষক দাবী করেন যে ইথানলের কুসুম গরম মিশ্রনে কুলকুচি করলে, ইথানল বাষ্প গলায় পৌঁছার মাধ্যমে করোনাভাইরাস মারা যায় এবং এইভাবে আক্রান্ত রোগীর চিকিৎসা করা যেতে পারে। প্রতিবেদনটির মাধ্যমে বাংলাদেশের প্রশাসনকেও করোনাভাইরাস আক্রান্ত রোগীদের ক্ষেত্রে এই পদ্ধতি অনুসরণ করার আহ্বান জানানো হয়।","",""
"1691836498-27","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2635","ভিডিওটি কি আইনমন্ত্রী আনিসুল হকের মায়ের জানাজার?","গত এপ্রিল ১৮ তারিখ, শনিবার, আইনমন্ত্রী আনিসুল হকের মা, মুক্তিযোদ্ধা জাহানারা হক মৃত্যুবরণ করেন। তিনি বাংলাদেশের অন্যতম সংবিধান প্রণেতা প্রয়াত অ্যাডভোকেট সিরাজুল হকের স্ত্রী। সংবাদ থেকে জানা যায় যে বনানীর ১১ নম্বর রোডের পাশে পানি উন্নয়ন বোর্ডের জামে মসজিদ প্রাঙ্গণে পারিবারিকভাবে ও সীমিত পরিসরে তার নামাজে জানাজা অনুষ্ঠিত হয়। এরপর তাকে বনানী কবরস্থানে দাফন করা হয়।","",""
"1691836504-28","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2670","সময় টিভিতে উল্লেখিত এসব কি ইজরাইলি কোম্পানি?","সম্প্রতি কাতার ভিত্তিক টিভি চ্যানেল আল জাজিরা “All the Prime Minister’s Men” শীর্ষক একটি প্রতিবেদন সম্প্রচার করে। প্রতিবেদনটিতে বাংলাদেশের উচ্চপদস্থ সামরিক কর্মকর্তাগণের দ্বারা দুর্নীতি ও ক্ষমতার অপব্যবহারের দাবী তুলে ধরা হয়। এমন দাবীর প্রমাণস্বরূপ বাংলাদেশ সেনাবাহিনী কর্তৃক ইসরায়েল থেকে ইন্টারনেট ও মোবাইল মনিটরিং সরঞ্জামাদি ক্রয় করা হয়েছে এমন একটি তথ্য উপস্থাপন করা হয়। প্রতিবেদনটিতে বলা হয়, যেখানে ইজরাইলের সাথে বাংলাদেশের সাথে কূটনৈতিক সম্পর্কই নেই, সেখানে রাজনৈতিক প্রতিপক্ষকে ‘নজরদারির’ জন্য দুর্নীতি করে দেশটির একটি কোম্পানি হতে মনিটরিং সরঞ্জামাদি ক্রয় করা হয়েছে। এই দাবীর বিপরীতে সেনাসদর দপ্তর একটি প্রতিবাদলিপি প্রকাশ করে।","",""
"1691836508-29","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-2875","ব্রাজিলে আযান দেওয়া নিষিদ্ধ ও আর্জেন্টিনায় ‘আল্লাহু আকবার’ বললে গ্রেফতার?","এই গুজবের প্রচলন হয় ২০১৪ সালের জুন মাসে সেই বছরের ফিফা ওয়ার্ল্ড কাপের ঠিক প্রারম্ভে। প্রশ্ন-উত্তরের ছলে ফেসবুকের বিভিন্ন পোস্টে বলা হয়—","",""
"1691836512-30","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-3054","ইসলামিক পদ্ধতিতে জবাইতে পশু ব্যথা অনুভব করে না — এই ভাইরাল পোস্টের সত্যতা কতটুকু?","২০১৯ সালের আগস্ট ১১ তারিখে ঈদুল আযহার প্রারম্ভে জনৈক ইয়াসিন আলাউদ্দিন তার ব্যক্তিগত টাইমলাইনে “ইসলামিক পদ্ধতিতে জবাইতে পশু ব্যথা অনুভব করে না” এমন দাবী সম্বলিত একটি পোস্ট আপলোড দিলে তা ভাইরাল হয়ে পড়ে।","",""
"1691836517-31","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-3096","ড. জাহাঙ্গীর কবিরের প্রদত্ত ‘ভ্যাকসিন সংক্রান্ত’ এই তথ্যগুলো কতটুকু সঠিক?","সোশ্যাল মিডিয়ায় ডায়েট ও স্বাস্থ্যকর লাইফস্টাইল পরামর্শের জন্য জনপ্রিয় ডাক্তার ড. জাহাঙ্গীর কবির জুন ১৫, ২০২১ তারিখে ‘রোগ প্রতিরোধ ক্ষমতা বাড়ানো ছাড়া আমাদের আর কোন উপায় নেই‘ শীর্ষক একটি ভিডিও প্রকাশ করেন ফেসবুক ও ইউটিউবে। প্রায় দুইঘন্টার আলোচিত এই ভিডিওর শেষাংশে ড. জাহাঙ্গীর কবির আলোচনার প্রাসঙ্গিকতায় কোভিড-১৯ ভ্যাকসিন সংক্রান্ত বিভিন্ন তথ্য ও ব্যাখ্যা প্রদান করেন।","",""
"1691836524-32","https://www.jachai.org/fact-checks","","https://www.jachai.org/fact-checks/post-3620","কাবুল দখলের পর তালেবানদের উল্লাস নাচ?","আফগানিস্তান থেকে সেনা প্রত্যাহারের ধারাবাহিকতায়, বিগত কয়েক মাস ধরে যুক্তরাষ্ট্র নেতৃত্বাধীন সেনাবাহিনী আফগানিস্তানের বিভিন্ন অঞ্চল থেকে সরিয়ে আনা হয়। এর ফলে তালেবান শাসনের অবসানের প্রায় দুই দশক পর, আফগানিস্তান সরকার নিয়ন্ত্রণ হারিয়ে, দেশটিকে পুনরায় তালেবান শাসনের অধীনে ফিরে যাওয়ার সুযোগ করে দেয়। এই বছর আগস্ট মাসে দেশটির ৩৪টি প্রাদেশিক রাজধানীর মধ্যে ২৬টির নিয়ন্ত্রণ তালেবানদের অধীনে চলে যায়।","",""
